"zerostate","reststate","linkage","location","locusname"
0,0.0216103699617088,1,0,"cP1"
0,0.178059036274603,2,0,"cP2"
0,0.192916191992512,2,20,"cP3"
0,0.194380937002657,2,40,"cP4"
0,0.202932354784273,2,60,"cP5"
0,0.222978620623457,2,80,"cP6"
0,0.308689715747133,2,100,"cP7"
0,-0.00256905847978166,3,0,"cP8"
0,0.00551214315588451,3,25,"cP9"
0,-0.00788396067917347,3,50,"cP10"
0,-0.00912162898108363,3,75,"cP11"
0,-0.0163982282559983,3,100,"cP12"
0,0.0510805369507442,4,0,"cP13"
0,0.0547251156700735,4,20,"cP14"
0,0.0687620245631704,4,40,"cP15"
0,0.0775161837628799,4,60,"cP16"
0,0.115609922217752,4,80,"cP17"
0,0.140723311894371,4,100,"cP18"
0,0.000449938029050827,5,0,"cP19"
0,0.00834402082487941,5,20,"cP20"
0,0.0387397216988688,5,40,"cP21"
0,0.0480636781437283,5,60,"cP22"
0,0.051180713920105,5,80,"cP23"
0,0.153351770258489,5,100,"cP24"
0,0.283010367585306,6,0,"cP25"
0,0.300390684476082,6,33,"cP26"
0,0.334487286154323,6,67,"cP27"
0,0.338024228122228,6,100,"cP28"
0,0.0627812933143149,7,0,"cP29"
0,0.082109308908309,7,25,"cP30"
0,0.107909061680163,7,50,"cP31"
0,0.170959615698996,7,75,"cP32"
0,0.203345491578033,7,100,"cP33"
0,-0.0296374566558133,8,0,"cP34"
0,0.0476809662936215,8,25,"cP35"
0,0.0483707164211159,8,50,"cP36"
0,0.0840642909981613,8,75,"cP37"
0,0.123344010780181,8,100,"cP38"
0,0.0970059397393718,9,0,"cP39"
0,0.136345409148171,9,20,"cP40"
0,0.150286422421022,9,40,"cP41"
0,0.152967074972375,9,60,"cP42"
0,0.18161574539773,9,80,"cP43"
0,0.212479021038119,9,100,"cP44"
0,0.17788496351724,10,0,"cP45"
0,0.224540040346013,10,11,"cP46"
0,0.231838957134048,10,22,"cP47"
0,0.237210062115798,10,33,"cP48"
0,0.244195956650535,10,44,"cP49"
0,0.261295417012961,10,56,"cP50"
0,0.271101676026674,10,67,"cP51"
0,0.281731332304271,10,78,"cP52"
0,0.317469157410746,10,89,"cP53"
0,0.342242930812721,10,100,"cP54"
0,0.00593411171808839,11,0,"cP55"
0,-0.020780554972589,11,12,"cP56"
0,0.0257106618955731,11,25,"cP57"
0,0.048754145799387,11,38,"cP58"
0,0.0500796685351019,11,50,"cP59"
0,-0.0517002741603141,11,62,"cP60"
0,0.0865906178155794,11,75,"cP61"
0,0.111022436378726,11,88,"cP62"
0,0.131043410482837,11,100,"cP63"
0,0.00936729180002239,12,0,"cP64"
0,0.0193496265634894,12,17,"cP65"
0,0.0330578859059728,12,33,"cP66"
0,0.0340726334697224,12,50,"cP67"
0,0.0399652675603795,12,67,"cP68"
0,0.0458804791031365,12,83,"cP69"
0,0.0938420182886772,12,100,"cP70"
0,0.141244610956033,13,0,"cP71"
0,0.0363834245858674,14,0,"cP72"
0,0.0736147702451716,14,33,"cP73"
0,0.0868544079329739,14,67,"cP74"
0,0.116968686724628,14,100,"cP75"
0,0.061149027716733,15,0,"cP76"
0,0.0881167797896931,15,20,"cP77"
0,0.210674393632612,15,40,"cP78"
0,0.225913025000295,15,60,"cP79"
0,0.24030054148973,15,80,"cP80"
0,0.275738920200932,15,100,"cP81"
0,0.00230107357725501,16,0,"cP82"
0,-0.0146186080927845,16,33,"cP83"
0,-0.0312718039734249,16,67,"cP84"
0,-0.052141310123909,16,100,"cP85"
0,0.0276452516002541,17,0,"cP86"
0,0.045401292478848,17,20,"cP87"
0,0.274007281292008,17,40,"cP88"
0,0.275175042174534,17,60,"cP89"
0,0.304140426889124,17,80,"cP90"
0,0.375173281969827,17,100,"cP91"
0,0.0244638273848181,18,0,"cP92"
0,0.0915149784782782,18,33,"cP93"
0,0.119392722950115,18,67,"cP94"
0,0.153024113654139,18,100,"cP95"
0,0.128205802433922,19,0,"cP96"
0,0.180088345845089,19,20,"cP97"
0,0.205128854279569,19,40,"cP98"
0,0.207877219756296,19,60,"cP99"
0,0.208698598359874,19,80,"cP100"
0,0.290557585717706,19,100,"cP101"
0,0.287199628536077,20,0,"cP102"
0,0.335226976270457,20,25,"cP103"
0,0.348306452142676,20,50,"cP104"
0,0.378608014837691,20,75,"cP105"
0,0.502305786738911,20,100,"cP106"
